127.0.0.1, 2016-08-11 22:11:59, GET, /mnos/hb/, HTTP/1.1, 404, 0.000374
127.0.0.1, 2016-08-11 22:12:09, GET, /mnos/hb/, HTTP/1.1, 404, 0.000281
127.0.0.1, 2016-08-11 22:12:19, GET, /mnos/hb/, HTTP/1.1, 404, 0.000301
127.0.0.1, 2016-08-11 22:12:29, GET, /mnos/hb/, HTTP/1.1, 404, 0.000271
127.0.0.1, 2016-08-11 22:12:39, GET, /mnos/hb/, HTTP/1.1, 404, 0.000753
127.0.0.1, 2016-08-11 22:12:49, GET, /mnos/hb/, HTTP/1.1, 404, 0.000369
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/default/index, HTTP/1.1, 200, 0.127626
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002124
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003259
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002144
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/calendar.js, HTTP/1.1, 200, 0.002363
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/css/calendar.css, HTTP/1.1, 200, 0.002162
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/web2py.js, HTTP/1.1, 200, 0.000778
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/share.js, HTTP/1.1, 200, 0.000784
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002494
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000462
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/images/background.jpg, HTTP/1.1, 200, 0.000667
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/images/twitter.png, HTTP/1.1, 200, 0.000906
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/images/gplus-32.png, HTTP/1.1, 200, 0.000696
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/images/facebook.png, HTTP/1.1, 200, 0.000606
127.0.0.1, 2016-08-11 22:12:51, GET, /gap2py/static/images/favicon.ico, HTTP/1.1, 200, 0.003286
127.0.0.1, 2016-08-11 22:12:59, GET, /mnos/hb/, HTTP/1.1, 404, 0.000422
127.0.0.1, 2016-08-11 22:13:06, GET, /gap2py/default/index, HTTP/1.1, 200, 0.018739
127.0.0.1, 2016-08-11 22:13:09, GET, /mnos/hb/, HTTP/1.1, 404, 0.000358
127.0.0.1, 2016-08-11 22:13:19, GET, /mnos/hb/, HTTP/1.1, 404, 0.000272
127.0.0.1, 2016-08-11 22:13:29, GET, /mnos/hb/, HTTP/1.1, 404, 0.000443
127.0.0.1, 2016-08-11 22:13:39, GET, /mnos/hb/, HTTP/1.1, 404, 0.000260
127.0.0.1, 2016-08-11 22:13:49, GET, /mnos/hb/, HTTP/1.1, 404, 0.000707
127.0.0.1, 2016-08-11 22:13:59, GET, /mnos/hb/, HTTP/1.1, 404, 0.000496
127.0.0.1, 2016-08-11 22:14:07, GET, /admin/default/peek/gap2py/views/default/index.html, HTTP/1.1, 200, 0.040936
127.0.0.1, 2016-08-11 22:14:09, GET, /gap2py/default/index, HTTP/1.1, 200, 0.037755
127.0.0.1, 2016-08-11 22:14:09, GET, /mnos/hb/, HTTP/1.1, 404, 0.001137
127.0.0.1, 2016-08-11 22:14:11, GET, /admin/default/peek/gap2py/controllers/default.py, HTTP/1.1, 200, 0.031999
127.0.0.1, 2016-08-11 22:14:14, GET, /gap2py/default/index, HTTP/1.1, 200, 0.027250
127.0.0.1, 2016-08-11 22:14:16, GET, /admin/default/peek/gap2py/views/default/index.html, HTTP/1.1, 200, 0.034238
127.0.0.1, 2016-08-11 22:14:18, GET, /gap2py/default/index, HTTP/1.1, 200, 0.029614
127.0.0.1, 2016-08-11 22:14:19, GET, /mnos/hb/, HTTP/1.1, 404, 0.000629
127.0.0.1, 2016-08-11 22:14:29, GET, /mnos/hb/, HTTP/1.1, 404, 0.000253
127.0.0.1, 2016-08-11 22:14:39, GET, /mnos/hb/, HTTP/1.1, 404, 0.000430
127.0.0.1, 2016-08-11 22:14:49, GET, /mnos/hb/, HTTP/1.1, 404, 0.000251
127.0.0.1, 2016-08-11 22:14:59, GET, /mnos/hb/, HTTP/1.1, 404, 0.000408
127.0.0.1, 2016-08-11 22:14:59, GET, /gap2py/default/index, HTTP/1.1, 200, 0.023762
127.0.0.1, 2016-08-11 22:15:02, GET, /gap2py/default/index, HTTP/1.1, 200, 0.030115
127.0.0.1, 2016-08-11 22:15:04, GET, /examples/default/index, HTTP/1.1, 200, 0.010691
